add-none,1,10,20,417578,20878,0
add-none,1,100,200,332568,1662,0
add-none,1,1000,2000,351408,175,0
add-none,1,10000,20000,460901,23,0
add-none,1,100000,200000,1513027,7,0
add-none,2,10,40,282527,7063,0
add-none,2,100,400,320945,802,0
add-none,2,1000,4000,487996,121,0
add-none,2,10000,40000,731038,18,0
add-none,2,100000,400000,5216025,13,6646
add-none,4,10,80,379215,4740,0
add-none,4,100,800,489032,611,29
add-none,4,1000,8000,406198,50,0
add-none,4,10000,80000,834986,10,7052
add-none,4,100000,800000,10248210,12,-81753
add-none,8,10,160,536644,3354,0
add-none,8,100,1600,556219,347,0
add-none,8,1000,16000,512915,32,976
add-none,8,10000,160000,2102816,13,2178
add-none,8,100000,1600000,18458793,11,-37418
add-none,16,10,320,735104,2297,0
add-none,16,100,3200,692986,216,32
add-none,16,1000,32000,725031,22,254
add-none,16,10000,320000,3969806,12,9845
add-none,16,100000,3200000,37476066,11,-7545
add-none,32,10,640,1484457,2319,0
add-none,32,100,6400,1264950,197,73
add-none,32,1000,64000,1492142,23,-735
add-none,32,10000,640000,7817162,12,-5010
add-none,32,100000,6400000,-921679801,-144,-31363
add-none,64,10,1280,2415536,1887,0
add-none,64,100,12800,2167996,169,0
add-none,64,1000,128000,2189524,17,2921
add-none,64,10000,1280000,15230663,11,-2963
add-none,64,100000,12800000,151670773,11,2680
